,created_at,favorite_count,id_str,is_retweet,retweet_count,source,text
4136,Wed Apr 11 13:50:23 +0000 2018,61655,984066131303583746,False,9909,Twitter for iPhone,"Speaker Paul Ryan is a truly good man, and while he will not be seeking re-election, he will leave a legacy of achievement that nobody can question. We are with you Paul!"
4137,Wed Apr 11 13:00:23 +0000 2018,97922,984053549742067712,False,26720,Twitter for iPhone,"Much of the bad blood with Russia is caused by the Fake &amp; Corrupt Russia Investigation, headed up by the all Democrat loyalists, or people that worked for Obama. Mueller is most conflicted of all (except Rosenstein who signed FISA &amp; Comey letter). No Collusion, so they go crazy!"
4138,Wed Apr 11 11:37:56 +0000 2018,125691,984032798821568513,False,32551,Twitter for iPhone,"Our relationship with Russia is worse now than it has ever been, and that includes the Cold War. There is no reason for this. Russia needs us to help with their economy, something that would be very easy to do, and we need all nations to work together. Stop the arms race?"
4139,Wed Apr 11 10:57:30 +0000 2018,173428,984022625440747520,False,66753,Twitter for iPhone,"Russia vows to shoot down any and all missiles fired at Syria. Get ready Russia,  because they will be coming, nice and new and “smart!” You shouldn’t be partners with a Gas Killing Animal who kills his people and enjoys it!"
4140,Wed Apr 11 10:47:37 +0000 2018,76115,984020136255541248,False,17886,Twitter for iPhone,"....doing things that nobody thought possible, despite the never ending and corrupt Russia Investigation, which takes tremendous time and focus. No Collusion or Obstruction (other than I fight back), so now they do the Unthinkable, and RAID a lawyers office for information! BAD!"
4141,Wed Apr 11 10:38:42 +0000 2018,69376,984017894240604161,False,16168,Twitter for iPhone,"So much Fake News about what is going on in the White House. Very calm and calculated with a big focus on open and fair trade with China, the coming North Korea meeting and, of course, the vicious gas attack in Syria. Feels great to have Bolton &amp; Larry K on board. I (we) are"
4142,Wed Apr 11 10:30:19 +0000 2018,67201,984015782521835521,False,17026,Twitter for iPhone,"The Failing New York Times wrote another phony story. It was political pundit Doug Schoen, not a Ukrainian businessman, who asked me to do a short speech by phone (Skype), hosted by Doug, in Ukraine. I was very positive about Ukraine-another negative to the Fake Russia  C story!"
4143,Tue Apr 10 21:49:56 +0000 2018,80005,983824424532144128,False,16582,Twitter for iPhone,"Today, it was my great honor to welcome the 2017 NCAA Football National Champion, Alabama Crimson Tide - to the White House. Congratulations! #RollTide
https://t.co/hF5EZHlSVS https://t.co/JfGue4IIs1"
4144,Tue Apr 10 18:30:38 +0000 2018,106429,983774270886236161,False,22531,Twitter for iPhone,"Very thankful for President Xi of China’s kind words on tariffs and automobile barriers...also, his enlightenment on intellectual property and technology transfers. We will make great progress together!"
4145,Tue Apr 10 17:51:08 +0000 2018,24427,983764328443797504,False,5869,Twitter for iPhone,"Very thankful for President Xi of China’s kind words on tarrifs and automobile barriers...also, his enlightenment on intellectual property and technology transfers. We will make great progress together!"
4146,Tue Apr 10 13:30:35 +0000 2018,87735,983698762760704000,False,19515,Twitter for iPhone,"Last night, it was my great honor to host America’s senior defense and military leaders for dinner at the White House. America’s military is the GREATEST fighting force in the history of the world. They all have my pledge of unwavering commitment to our men and women in uniform! https://t.co/BjWKcMX0iL"
4147,Tue Apr 10 11:08:18 +0000 2018,122912,983662953894436864,False,31061,Twitter for iPhone,A TOTAL WITCH HUNT!!!
4148,Tue Apr 10 11:07:58 +0000 2018,105299,983662868540346371,False,27107,Twitter for iPhone,Attorney–client privilege is dead!
4149,Mon Apr 09 19:32:27 +0000 2018,53184,983427438691708929,False,10494,Twitter for iPhone,Great @Cabinet meeting at the @WhiteHouse this morning! https://t.co/kzmfovwUeb https://t.co/7AgbwbFNuw
4150,Mon Apr 09 19:17:39 +0000 2018,104763,983423715332558848,False,27106,Media Studio,The Democrats are not doing what’s right for our country. I will not rest until we have secured our borders and restored the rule of law! https://t.co/zKGgPlaadS
4151,Mon Apr 09 16:55:41 +0000 2018,0,983387989136084993,True,10853,Twitter for iPhone,RT @StateDept: .@POTUS Trump condemns the heinous attack on innocent Syrians with banned chemical weapons. #Syria https://t.co/qiEahlL3Ah
4152,Mon Apr 09 10:03:16 +0000 2018,176652,983284198046826496,False,46855,Twitter for iPhone,"When a car is sent to the United States from China, there is a Tariff to be paid of 2 1/2%. When a car is sent to China from the United States, there is a Tariff to be paid of 25%. Does that sound like free or fair trade.  No, it sounds like STUPID TRADE -  going on for years!"
