,created_at,tweets,mentioned_company
586,Wed Feb 27 07:58:32 +0000 2019,"i have now spent more time in vietnam than da nang dick blumenthal, the { THIRD } rate senator from connecticut (how is connecticut doing?). his war stories of his heroism in vietnam were a total fraud - he was never even there. we talked about it today with vietnamese leaders!","Fifth Third Bancorp, "
597,Mon Feb 25 20:12:25 +0000 2019,china trade deal (and more) in { ADVANCED } stages. relationship between our two countries is very strong. i have therefore agreed to delay u.s. tariff hikes. let’s see what happens?,"Advanced Micro Devices Inc, "
598,Mon Feb 25 19:08:57 +0000 2019,"...our foreign partners. recovering american hostages is a priority of my admin, and with danny’s release, we have now secured freedom for 20 american captives since my election victory. we will not rest as we continue our work to bring the remaining american hostages back home!","Fortune Brands Home & Security, Home Depot, "
599,Mon Feb 25 19:08:56 +0000 2019,"...danny’s recovery reflects the best of what the united states &amp; its partners can accomplish.
we work every day to bring americans home. we maintain constant and intensive diplomatic, intelligence, and law enforcement cooperation within the united states government and with...","Fortune Brands Home & Security, Home Depot, "
600,Mon Feb 25 19:08:55 +0000 2019,"it is my honor today to announce that danny burch, a united states citizen who has been held hostage in yemen for 18 months, has been recovered and reunited with his wife and children. i appreciate the support of the united arab emirates in bringing danny home...","Fortune Brands Home & Security, Home Depot, "
602,Mon Feb 25 15:12:02 +0000 2019,since my election as president the { DOW } jones is up 43% and the nasdaq composite almost 50%. great news for your 401(k)s as they continue to grow. we are bringing back america faster than anyone thought possible!,"Dow Inc., "
609,Mon Feb 25 11:58:41 +0000 2019,"oil prices getting too high. opec, please relax and take it easy. world cannot take a { PRICE } hike - fragile!","T. Rowe Price Group, "
614,Sun Feb 24 22:39:17 +0000 2019,"i am pleased to report that the u.s. has made substantial progress in our trade talks with china on important structural issues including intellectual { PROPERTY } protection, technology transfer, agriculture, services, currency, and many other issues. as a result of these very......","Essex Property Trust, Inc., Simon Property Group Inc, "
617,Sun Feb 24 15:02:16 +0000 2019,93% approval rating in the republican party. 52% approval rating overall! not bad considering i get the most unfair (bad) press in the history of presidential politics! and don’t forget the witch hunt!,"J. B. Hunt Transport Services, "
622,Sun Feb 24 12:43:52 +0000 2019,"hold the date! we will be having one of the biggest gatherings in the history of washington, d.c., on july 4th. it will be called “a salute to america” and will be held at the { LINCOLN } memorial. major fireworks display, entertainment and an address by your favorite president, me!","Lincoln National, "
623,Sun Feb 24 04:02:02 +0000 2019,rt @seanhannity: **report: “china is proposing that it could { BUY } an additional $30 billion a year of u.s. agricultural { PRODUCTS } including s…,"Air Products & Chemicals Inc, Best Buy Co. Inc., Maxim Integrated Products Inc, "
639,Fri Feb 22 22:51:34 +0000 2019,"rt @secretarysonny: breaking: in oval office meeting today, the chinese committed to { BUY } an additional 10 million metric tons of u.s. soybe…","Best Buy Co. Inc., "
642,Fri Feb 22 14:11:44 +0000 2019,"highly respected senator richard burr, head of senate intelligence, said, after interviewing over 200 witnesses and studying over 2 million pages of documents, “we have found no collusion between the trump campaign and russia.” the witch hunt, so bad for our country, must end!","J. B. Hunt Transport Services, "
648,Thu Feb 21 13:59:39 +0000 2019,"....something that is so obviously the future. i want the united states to win through competition, not by blocking out currently more { ADVANCED } technologies. we must always be the leader in everything we do, especially when it comes to the very exciting world of technology!","Advanced Micro Devices Inc, "
652,Wed Feb 20 14:13:25 +0000 2019,california now wants to scale back their already failed “fast train” project by substantially shortening the distance so that it no longer goes from l.a. to san francisco. a different deal and record cost overruns. send the federal government back the billions of dollars wasted!,"L Brands Inc., "
654,Wed Feb 20 12:54:33 +0000 2019,"“if thinking that { JAMES } comey is not a good fbi director is tantamount to being an agent of russia, than just list all the people that are agents of russia - chuck schumer, nancy pelosi, rod rosenstein who wrote the memo to get rid of comey, the inspector general....” trey gowdy","Raymond James Financial Inc., "
655,Wed Feb 20 12:44:20 +0000 2019,“the washington post ignored basic journalistic standards because it wanted to { ADVANCE } its well-known and easily documented biased agenda against president donald j. trump.” covington student suing wapo. go get them nick. fake news!,"Advance Auto Parts, "
668,Tue Feb 19 12:21:07 +0000 2019,"“....(the witch hunt) in time likely will become recognized as the greatest scandal in american political history, marking the first occasion in which the u.s. government bureaucrats sought to overturn an election (presidential)!” victor davis hanson  and got caught! @foxnews","J. B. Hunt Transport Services, "
669,Tue Feb 19 03:26:47 +0000 2019,"remember this, andrew mccabe didn’t go to the bathroom without the approval of leakin’ { JAMES } comey!","Raymond James Financial Inc., "
